,Accuracy,Precision,Recall,AUC ROC,auc pr
0,1.0,1.0,1.0,1.0,1.0
1,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9845679012345679,0.958994708994709
2,0.9333333333333333,0.9428571428571428,0.9333333333333333,1.0,1.0
3,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9871604938271604,0.9791798941798943
4,0.9333333333333333,0.9466666666666667,0.9333333333333333,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,0.8666666666666667,0.9047619047619048,0.8666666666666667,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
