,Accuracy,Precision,Recall,AUC ROC,auc pr
0,0.8556701030927835,0.8556701030927835,0.8556701030927835,0.9046808510638298,0.8884234841049388
1,0.84375,0.8433423301844355,0.84375,0.899330357142857,0.88597225547433
2,0.8958333333333334,0.8968840579710146,0.8958333333333334,0.9281031468531469,0.9137578023207966
3,0.78125,0.781949319877139,0.78125,0.873015873015873,0.8551507848435802
4,0.8229166666666666,0.8275815217391305,0.8229166666666666,0.9113289760348583,0.908286062631182
5,0.78125,0.7838679453262788,0.78125,0.8860182370820668,0.8880144276138318
6,0.75,0.7502178649237473,0.75,0.8365175857577073,0.8225391917168061
7,0.8333333333333334,0.8382113821138212,0.8333333333333334,0.8918801563178462,0.8791630988848499
8,0.8645833333333334,0.8703050369083805,0.8645833333333334,0.927469135802469,0.9278249525031912
9,0.84375,0.8431917086578103,0.84375,0.9142468239564429,0.8936154989600518
