,Accuracy,Precision,Recall,AUC ROC,auc pr
0,0.8041237113402062,0.8045455743929127,0.8041237113402062,0.8673076923076923,0.8686514127199119
1,0.8541666666666666,0.855684145092877,0.8541666666666666,0.8869179600886918,0.869502443849873
2,0.7708333333333334,0.8046875,0.7708333333333334,0.8786892361111112,0.8736071285590933
3,0.8229166666666666,0.8231336805555557,0.8229166666666666,0.8890577507598784,0.8666816047838659
4,0.8645833333333334,0.864741641337386,0.8645833333333334,0.9240451388888888,0.9168683820552221
5,0.78125,0.7925531914893617,0.78125,0.8430803571428571,0.808289360070193
6,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.9231437255753365,0.9194437506307445
7,0.8229166666666666,0.823056882327399,0.8229166666666666,0.8806423611111112,0.8767064342324764
8,0.8125,0.8173076923076924,0.8125,0.8926339285714286,0.8878432850563456
9,0.75,0.7633928571428571,0.75,0.8178368121442124,0.8005093860485807
