,Accuracy,Precision,Recall,AUC ROC,auc pr
0,0.845360824742268,0.8476396219019753,0.845360824742268,0.9140222984562607,0.9077259768871765
1,0.8333333333333334,0.8344927536231884,0.8333333333333334,0.916083916083916,0.9175441543550336
2,0.8020833333333334,0.802755228901565,0.8020833333333334,0.8610869565217392,0.8645222209268144
3,0.8125,0.8120535714285714,0.8125,0.8824955908289243,0.8592481343311172
4,0.78125,0.7918836805555555,0.78125,0.8762749445676274,0.8559688204209046
5,0.8333333333333334,0.8359477124183007,0.8333333333333334,0.8651758575770734,0.8367156106361096
6,0.8333333333333334,0.83224043715847,0.8333333333333334,0.9118185982592761,0.9098579610922306
7,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8836601307189542,0.8599740433483418
8,0.8541666666666666,0.8552898550724638,0.8541666666666666,0.8701923076923077,0.8316320626281721
9,0.7395833333333334,0.7492931547619047,0.7395833333333334,0.8601823708206686,0.8549266313894959
