,Accuracy,Precision,Recall,AUC ROC,auc pr
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9747619047619048,0.9639814814814814
3,0.8666666666666667,0.8962962962962963,0.8666666666666667,0.9864718614718614,0.9748724489795918
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,0.9333333333333333,0.9416666666666667,0.9333333333333333,1.0,1.0
8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9864718614718614,0.9748724489795918
9,0.9333333333333333,1.0,0.9333333333333333,,
