,Accuracy,Precision,Recall,AUC ROC,auc pr
0,0.7835051546391752,0.7608695652173914,0.7777777777777778,0.8329059829059828,0.8434337196331055
1,0.8229166666666666,0.782608695652174,0.8372093023255814,0.8881088196577445,0.8230922102810847
2,0.8125,0.86,0.7962962962962963,0.8999118165784833,0.9236581289211556
3,0.78125,0.7857142857142857,0.7333333333333333,0.8581699346405229,0.8386626074567648
4,0.8333333333333334,0.7631578947368421,0.8055555555555556,0.9039351851851851,0.8677942051585328
5,0.8333333333333334,0.8717948717948718,0.7555555555555555,0.9248366013071896,0.9179458847386363
6,0.84375,0.9512195121951219,0.75,0.9392482517482518,0.9422545997107059
7,0.8229166666666666,0.8048780487804879,0.7857142857142857,0.857583774250441,0.7958465662841784
8,0.78125,0.7692307692307693,0.7142857142857143,0.8456790123456791,0.8225238138112246
9,0.75,0.6976744186046512,0.7317073170731707,0.8368070953436807,0.6790793809736928
