,Accuracy,Precision,Recall,AUC ROC,auc pr
0,0.7402597402597403,0.7504419355599029,0.7402597402597403,0.8260869565217391,0.8043982962717007
1,0.8051948051948052,0.8288075560802833,0.8051948051948052,0.8372549019607843,0.8139929568587607
2,0.7402597402597403,0.7323747680890539,0.7402597402597403,0.8014814814814815,0.7837772330101952
3,0.7402597402597403,0.7441249226963511,0.7402597402597403,0.8394109396914446,0.8254100366441074
4,0.7532467532467533,0.7559499324205207,0.7532467532467533,0.8346153846153845,0.8023648977779008
5,0.8181818181818182,0.8282398452611218,0.8181818181818182,0.8536953242835595,0.8020729386606376
6,0.8181818181818182,0.8141620284477428,0.8181818181818182,0.8415384615384616,0.7904171163511282
7,0.6883116883116883,0.6833766233766234,0.6883116883116883,0.8014814814814815,0.7917527308314387
8,0.75,0.7451923076923077,0.75,0.798941798941799,0.7453638759781904
9,0.7894736842105263,0.796221322537112,0.7894736842105263,0.8828125,0.8815157871020575
10,0.8947368421052632,0.9064327485380117,0.8947368421052632,0.7083333333333333,0.8039723170008096
11,0.7368421052631579,0.8099415204678363,0.7368421052631579,0.5769230769230769,0.6080558565994086
12,0.6111111111111112,0.37345679012345684,0.6111111111111112,0.2857142857142857,0.37447748224104216
13,0.7777777777777778,0.6049382716049383,0.7777777777777778,0.3214285714285714,0.4161279007523756
14,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.3055555555555556,0.3941115920435773
15,0.7222222222222222,0.5216049382716049,0.7222222222222222,0.23076923076923078,0.4195914784687409
16,0.6111111111111112,0.37345679012345684,0.6111111111111112,0.48051948051948046,0.47272420225772016
17,0.7222222222222222,0.5216049382716049,0.7222222222222222,0.35384615384615387,0.4520626504591436
18,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5714285714285714,0.5065278777594955
19,0.7222222222222222,0.6805555555555556,0.7222222222222222,0.46153846153846156,0.5033203689849617
20,0.9523809523809523,0.9563492063492063,0.9523809523809523,0.9865319865319866,0.9795864489046308
21,0.9523809523809523,0.9571428571428572,0.9523809523809523,1.0,1.0
22,0.9523809523809523,0.9591836734693877,0.9523809523809523,0.9774410774410774,0.9697089947089946
23,1.0,1.0,1.0,1.0,1.0
24,0.9047619047619048,0.9126984126984128,0.9047619047619048,0.9742845117845119,0.9422348484848485
25,0.9523809523809523,0.9591836734693877,0.9523809523809523,1.0,1.0
26,0.7142857142857143,0.725108225108225,0.7142857142857143,0.9308641975308642,0.8841912973857419
27,0.7619047619047619,0.7761904761904762,0.7619047619047619,0.9424242424242424,0.9104854741218378
28,1.0,1.0,1.0,1.0,1.0
29,0.9047619047619048,0.9428571428571428,0.9047619047619048,1.0,1.0
30,0.7897435897435897,0.7968017767874295,0.7897435897435897,0.9693662863872659,0.9031707835337661
31,0.7783505154639175,0.793657221184115,0.7783505154639175,0.9600457745223273,0.8349304687348977
32,0.7474226804123711,0.7488697799672787,0.7474226804123711,0.950800687661968,0.8127021879717454
33,0.7525773195876289,0.760630175877056,0.7525773195876289,0.9629740573342105,0.8836936194905436
34,0.7731958762886598,0.789839593535847,0.7731958762886598,0.9744657616604974,0.9004241769324075
35,0.8195876288659794,0.8319572304481012,0.8195876288659794,0.9770444647020498,0.896897186162691
36,0.7938144329896907,0.8126990780511972,0.7938144329896907,0.9725240864872128,0.888727589296483
37,0.8144329896907216,0.8240077957251044,0.8144329896907216,0.9644316770911677,0.8728445255788863
38,0.7371134020618557,0.7433817354992085,0.7371134020618557,0.9506235224437861,0.8316989608027013
39,0.788659793814433,0.8021649484536083,0.788659793814433,0.9597542812455178,0.8815648894151887
