,Accuracy,Precision,Recall,AUC ROC,auc pr
0,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9715151515151516,0.9416666666666665
1,0.9333333333333333,0.9555555555555555,0.9333333333333333,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9588888888888888,0.9116666666666666
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,0.9333333333333333,0.9466666666666667,0.9333333333333333,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,0.9333333333333333,0.9466666666666667,0.9333333333333333,0.9725028058361391,0.9420634920634919
9,0.8666666666666667,0.9555555555555556,0.8666666666666667,1.0,1.0
