,Accuracy,Precision,Specificity,Sensitivity,AUC ROC,auc pr
0,0.6623376623376623,0.6086956521739131,0.8043478260869565,0.45161290322580644,0.7507012622720898,0.6071288932394278
1,0.7922077922077922,0.8695652173913043,0.9318181818181818,0.6060606060606061,0.8216253443526171,0.8173891000474309
2,0.8571428571428571,0.6956521739130435,0.8771929824561403,0.8,0.8824561403508773,0.7029718192234811
3,0.7662337662337663,0.6956521739130435,0.86,0.5925925925925926,0.8044444444444444,0.647210126634804
4,0.8051948051948052,0.75,0.88,0.6666666666666666,0.8440740740740741,0.7119415555580055
5,0.8571428571428571,0.75,0.8653846153846154,0.84,0.8780769230769232,0.7337925215948703
6,0.7792207792207793,0.7391304347826086,0.8775510204081632,0.6071428571428571,0.8345481049562683,0.7163354243803411
7,0.6883116883116883,0.47368421052631576,0.8148148148148148,0.391304347826087,0.7403381642512077,0.5391591840229688
8,0.7894736842105263,0.7222222222222222,0.9038461538461539,0.5416666666666666,0.8225160256410257,0.6135780977654116
9,0.75,0.72,0.8478260869565217,0.6,0.8358695652173913,0.7978929091817264
